Name,Link,Ingredients_x,Main Spirit,Flavor,Rating,Ratings Count,Ingredients_y,Color,Occasion
Kilbeggan Brosna Sour,https://www.thecocktailproject.com/drink-recipes/kilbeggan-brosna-sour,"Kilbeggan Single Grain Irish Whiskey, Lemon Juice, Kilbeggan Single Grain Irish Whiskey, Lemon Juice, Grapefruit Juice, Simple Syrup, Egg White",Gin,,3,40,"Kilbeggan Single Grain Irish Whiskey, Lemon Juice, Kilbeggan Single Grain Irish Whiskey, Lemon Juice, Grapefruit Juice, Simple Syrup, Egg White",['yellow'],['holiday']
Gingerbread Sour,https://www.thecocktailproject.com/drink-recipes/gingerbread-sour,"Sipsmith London Dry Gin, Lemon Juice, Sipsmith London Dry Gin, Lemon Juice, Egg White",Gin,Sour,3,41,"Sipsmith London Dry Gin, Lemon Juice, Sipsmith London Dry Gin, Lemon Juice, Egg White",['yellow'],['holiday']
Negroni,https://www.thecocktailproject.com/drink-recipes/negroni,"Sipsmith London Dry Gin, Sweet Vermouth, Sipsmith London Dry Gin, Sweet Vermouth",Gin,Sour,3,36,"Sipsmith London Dry Gin, Sweet Vermouth, Sipsmith London Dry Gin, Sweet Vermouth",['red'],
Sideline Sipper,https://www.thecocktailproject.com/drink-recipes/sideline-sipper,"Lemonade, Lemonade",Cordials,Sweet,3,38,"Lemonade, Lemonade",,['game-day']
Blue Lagoon,https://www.thecocktailproject.com/drink-recipes/blue-lagoon,,Cordials,Sweet,3,42,,,['game-day']
Home Team Punch,https://www.thecocktailproject.com/drink-recipes/home-team-punch,,Cordials,Sweet,3,30,,,['game-day']
Red Zone,https://www.thecocktailproject.com/drink-recipes/red-zone,"Cranberry Juice, Cranberry Juice",Cordials,Sweet,3,32,Cranberry Juice,['red'],['game-day']
Sour Apple Highball,https://www.thecocktailproject.com/drink-recipes/sour-apple-highball,"Pinnacle Original Vodka, DeKuyper Pucker Sour Apple Schnapps, Pinnacle Original Vodka, DeKuyper Pucker Sour Apple Schnapps, Lemon-Lime Soda",Cordials,Sweet,3,35,"Pinnacle Original Vodka, DeKuyper Pucker Sour Apple Schnapps, Lemon-Lime Soda",['green'],['game-day']
Yellowhammer,https://www.thecocktailproject.com/drink-recipes/yellowhammer,"Cruzan Aged Light Rum, Orange Juice, Cruzan Aged Light Rum, Orange Juice, Pineapple Juice",Cordials,Fruity,3,50,"Cruzan Aged Light Rum, Orange Juice, Pineapple Juice",['yellow'],['game-day']
Blue Mule,https://www.thecocktailproject.com/drink-recipes/blue-mule,"Pinnacle Original Vodka, Lime Juice, Pinnacle Original Vodka, Lime Juice",Cordials,Sweet,3,33,"Pinnacle Original Vodka, Lime Juice",,['game-day']
Watermelon Rush,https://www.thecocktailproject.com/drink-recipes/watermelon-rush,"Cruzan Aged Light Rum, DeKuyper Pucker Watermelon Schnapps, Cruzan Aged Light Rum, DeKuyper Pucker Watermelon Schnapps, Pineapple Juice, Sour Mix",Cordials,Sour,3,43,"Cruzan Aged Light Rum, DeKuyper Pucker Watermelon Schnapps, Pineapple Juice, Sour Mix",['red'],['game-day']
Cubbie Blue,https://www.thecocktailproject.com/drink-recipes/cubbie-blue,,Cordials,Sweet,3,42,,,['game-day']
Orangesicle,https://www.thecocktailproject.com/drink-recipes/orangesicle,Ice,Cordials,Sweet,3,56,Ice,['orange'],['game-day']
Cranberry Mojito,https://www.thecocktailproject.com/drink-recipes/cranberry-mojito,"Cruzan Aged Light Rum, Fresh Mint Leaves, Cruzan Aged Light Rum, Fresh Mint Leaves, Lime Juice, Soda Water, Cranberries, Lime Wheel",Rum,Fruity,3,39,"Cruzan Aged Light Rum, Fresh Mint Leaves, Lime Juice, Soda Water, Cranberries, Lime Wheel",['red'],"['christmas', 'fall', 'holiday', 'winter']"
Blue Flurry,https://www.thecocktailproject.com/drink-recipes/blue-flurry,"Pinnacle Original Vodka, DeKuyper Blue Curacao Liqueur, Pinnacle Original Vodka, DeKuyper Blue Curacao Liqueur, Pineapple Juice, Cream of Coconut, Ice, Shredded Coconut",Cordials,Frozen,3,30,"Pinnacle Original Vodka, DeKuyper Blue Curacao Liqueur, Pineapple Juice, Cream of Coconut, Ice, Shredded Coconut",,"['christmas', 'fall', 'holiday', 'new-years', 'thanksgiving', 'winter']"
Bourbon Cider Sour,https://www.thecocktailproject.com/drink-recipes/bourbon-cider-sour,"Jim Beam, Apple Cider, Jim Beam, Apple Cider, Orange Juice, Simple Syrup, Apple Slices",Bourbon,Fruity,3,55,"Jim Beam, Apple Cider, Orange Juice, Simple Syrup, Apple Slices",['orange'],"['fall', 'thanksgiving']"
Laphroaig Blood Mary Queen of Scots,https://www.thecocktailproject.com/drink-recipes/laphroaig-blood-mary-queen-scots,"Bloody Mary Mix, Laphroaig 10 Year Old Whisky, Bloody Mary Mix, Laphroaig 10 Year Old Whisky, Pepper, Black",Scotch,Savory,3,25,"Bloody Mary Mix, Laphroaig 10 Year Old Whisky, Pepper, Black",['red'],"['brunch', 'fall']"
Pumpkin Spice White Russian,https://www.thecocktailproject.com/drink-recipes/pumpkin-spice-white-russian,"Kamora Coffee Liqueur, Pinnacle Whipped Vodka, Kamora Coffee Liqueur, Pinnacle Whipped Vodka, Pumpkin Spice Flavored Liquid Coffee Creamer, Milk, Pumpkin Puree, Pumpkin Spice",Cordials,Sweet,3,20,"Kamora Coffee Liqueur, Pinnacle Whipped Vodka, Pumpkin Spice Flavored Liquid Coffee Creamer, Milk, Pumpkin Puree, Pumpkin Spice",['brown'],['fall']
Glasgow Seelbach,https://www.thecocktailproject.com/drink-recipes/glasgow-seelbach,"Auchentoshan American Oak Single Malt Scotch Whisky, Angostura Bitters, Auchentoshan American Oak Single Malt Scotch Whisky, Angostura Bitters, Peychaud's Bitters, Champagne, Lemon Twist",Champagne,Sweet,3,27,"Auchentoshan American Oak Single Malt Scotch Whisky, Angostura Bitters, Peychaud's Bitters, Champagne, Lemon Twist",['yellow'],['fall']
Bobby Burns,https://www.thecocktailproject.com/drink-recipes/bobby-burns,"Auchentoshan American Oak Single Malt Scotch Whisky, Sweet Vermouth, Auchentoshan American Oak Single Malt Scotch Whisky, Sweet Vermouth, Orange Peel",Scotch,Savory,3,35,"Auchentoshan American Oak Single Malt Scotch Whisky, Sweet Vermouth, Orange Peel",['brown'],['fall']
Rob Roy,https://www.thecocktailproject.com/drink-recipes/rob-roy,"Auchentoshan Three Wood Single Malt Scotch Whisky, Sweet Vermouth, Auchentoshan Three Wood Single Malt Scotch Whisky, Sweet Vermouth, Angostura Bitters, Maraschino Cherries, Lemon Peel",Scotch,,3,28,"Auchentoshan Three Wood Single Malt Scotch Whisky, Sweet Vermouth, Angostura Bitters, Maraschino Cherries, Lemon Peel",['brown'],['fall']
Zombie,https://www.thecocktailproject.com/drink-recipes/zombie,"Cruzan Aged Light Rum, Cruzan Aged Dark Rum, Cruzan Aged Light Rum, Cruzan Aged Dark Rum, Cruzan 151 Rum, Apricot Liqueur, Orange Juice, Lime Bitters, Orange Peel, Cherries",Rum,Fruity,3,37,"Cruzan Aged Light Rum, Cruzan Aged Dark Rum, Cruzan 151 Rum, Apricot Liqueur, Orange Juice, Lime Bitters, Orange Peel, Cherries",['orange'],"['fall', 'halloween']"
Berry White,https://www.thecocktailproject.com/drink-recipes/berry-white,"Auchentoshan American Oak Single Malt Scotch Whisky, Lemon Juice, Auchentoshan American Oak Single Malt Scotch Whisky, Lemon Juice, Wheat Beer, Rhubarb Bitters",Beer,Fruity,3,27,"Auchentoshan American Oak Single Malt Scotch Whisky, Lemon Juice, Wheat Beer, Rhubarb Bitters",['brown'],"['bbq', 'fall', 'game-day', 'thanksgiving']"
Laphroaig Land and Sea,https://www.thecocktailproject.com/drink-recipes/laphroaig-land-and-sea,"Laphroaig Select, Angostura Bitters, Laphroaig Select, Angostura Bitters, Orange Twist, Better With Bitters",Whiskey,Fruity,3,25,"Laphroaig Select, Angostura Bitters, Orange Twist, Better With Bitters",['brown'],"['fall', 'thanksgiving']"
Laphroaig Broadbay Sour,https://www.thecocktailproject.com/drink-recipes/laphroaig-broadbay-sour,"Laphroaig Select, Lemon Juice, Laphroaig Select, Lemon Juice, Cinnamon Stick, Orange Peel",Whiskey,Fruity,3,44,"Laphroaig Select, Lemon Juice, Cinnamon Stick, Orange Peel",,['fall']
Laphroaig Back Yard Collins,https://www.thecocktailproject.com/drink-recipes/laphroaig-back-yard-collins,"Laphroaig Select, Lemon Juice, Laphroaig Select, Lemon Juice, Orange Juice, Angostura Bitters, Lager, Lemon Wheel",Beer,Fruity,2,32,"Laphroaig Select, Lemon Juice, Orange Juice, Angostura Bitters, Lager, Lemon Wheel",['brown'],"['bbq', 'fall']"
Prickly Pink Margarita,https://www.thecocktailproject.com/drink-recipes/prickly-pink-margarita,"Sauza Blue Silver 100% Agave Tequila, DeKuyper Triple Sec Liqueur, Sauza Blue Silver 100% Agave Tequila, DeKuyper Triple Sec Liqueur, Limeade",Tequila,Fruity,3,37,"Sauza Blue Silver 100% Agave Tequila, DeKuyper Triple Sec Liqueur, Limeade",['pink'],"['fall', 'spring', 'summer', 'tropical']"
Pina Punch,https://www.thecocktailproject.com/drink-recipes/pina-punch-0,"Sauza Blue Silver 100% Agave Tequila, DeKuyper Blueberry Schnapps Liqueur, Sauza Blue Silver 100% Agave Tequila, DeKuyper Blueberry Schnapps Liqueur, Simple Syrup, Lime Juice, Pineapple Juice",Tequila,Fruity,3,45,"Sauza Blue Silver 100% Agave Tequila, DeKuyper Blueberry Schnapps Liqueur, Simple Syrup, Lime Juice, Pineapple Juice",['yellow'],"['bbq', 'brunch', 'fall', 'spring', 'summer']"
Sauza Cilantro Jalapeno Margarita,https://www.thecocktailproject.com/drink-recipes/sauza-cilantro-jalapeno-margarita,"Sauza Blue Silver 100% Agave Tequila, DeKuyper Triple Sec Liqueur, Sauza Blue Silver 100% Agave Tequila, DeKuyper Triple Sec Liqueur, Lime Juice, Sprig Cilantro",Tequila,Fruity,3,45,"Sauza Blue Silver 100% Agave Tequila, DeKuyper Triple Sec Liqueur, Lime Juice, Sprig Cilantro",['yellow'],"['fall', 'spring', 'summer']"
EFFEN Green Apple Cooler,https://www.thecocktailproject.com/drink-recipes/effen-green-apple-cooler,"EFFEN Green Apple Vodka, Lemonade, EFFEN Green Apple Vodka, Lemonade, Lemon-Lime Soda, Green Apple Slices",Vodka,Fruity,3,77,"EFFEN Green Apple Vodka, Lemonade, Lemon-Lime Soda, Green Apple Slices",['clear'],"['fall', 'spring', 'summer']"
EFFEN Raspberry Lemonade,https://www.thecocktailproject.com/drink-recipes/effen-raspberry-lemonade,"EFFEN Raspberry Vodka, Lemonade, EFFEN Raspberry Vodka, Lemonade",Vodka,Fruity,3,28,"EFFEN Raspberry Vodka, Lemonade",['clear'],"['brunch', 'summer']"
EFFEN Blood Orange Mimosa,https://www.thecocktailproject.com/drink-recipes/effen-blood-orange-mimosa,"EFFEN Blood Orange Vodka, Orange Juice, EFFEN Blood Orange Vodka, Orange Juice, Wine, Sparkling",Vodka,Fruity,3,37,"EFFEN Blood Orange Vodka, Orange Juice, Wine, Sparkling",['yellow'],"['ladies-night', 'brunch', 'fall']"
Black Sunset,https://www.thecocktailproject.com/drink-recipes/black-sunset,"Jim Beam Black, Amaro Liqueur, Jim Beam Black, Amaro Liqueur, Aperol Aperitif, Lemon Juice",Bourbon,Fruity,3,28,"Jim Beam Black, Amaro Liqueur, Aperol Aperitif, Lemon Juice",['red'],"['fall', 'spring']"
Double Oak Whiskey Smash,https://www.thecocktailproject.com/drink-recipes/double-oak-whiskey-smash,"Lemon, Lemon, Sugar, Granulated, Mint, Fresh, Ice, Crushed, Easy Ice Tips",Bourbon,Fruity,3,39,"Lemon, Sugar, Granulated, Mint, Fresh, Ice, Crushed, Easy Ice Tips",['orange'],"['bbq', 'fall', 'summer']"
Jim Beam Black Hot Toddy,https://www.thecocktailproject.com/drink-recipes/jim-beam-black-hot-toddy,"Jim Beam Black, Honey, Jim Beam Black, Honey, Lemon Juice, Hot Water, Lemon Peel",Bourbon,Hot,3,51,"Jim Beam Black, Honey, Lemon Juice, Hot Water, Lemon Peel",['brown'],"['fall', 'winter']"
Cucumber Melon Margarita,https://www.thecocktailproject.com/drink-recipes/cucumber-melon-margarita,"Hornitos Plata Tequila, Midori Melon Liqueur, Hornitos Plata Tequila, Midori Melon Liqueur, Lime Juice, Agave Syrup, Cucumber",Cordials,Sweet,3,35,"Hornitos Plata Tequila, Midori Melon Liqueur, Lime Juice, Agave Syrup, Cucumber",['green'],"['spring', 'summer']"
Cucumber Cooler,https://www.thecocktailproject.com/drink-recipes/cucumber-cooler,"EFFEN Cucumber Vodka, Midori Melon Liqueur, EFFEN Cucumber Vodka, Midori Melon Liqueur, Lime Juice, Simple Syrup, Cucumber, Simple Garnishes",Cordials,Sour,3,33,"EFFEN Cucumber Vodka, Midori Melon Liqueur, Lime Juice, Simple Syrup, Cucumber, Simple Garnishes",['green'],"['spring', 'summer']"
Buttershots Old Fashioned,https://www.thecocktailproject.com/drink-recipes/buttershots-old-fashioned,"Jim Beam, DeKuyper Buttershots Schnapps, Jim Beam, DeKuyper Buttershots Schnapps, Angostura Bitters, Maraschino Cherries",Bourbon,Sweet,3,128,"Jim Beam, DeKuyper Buttershots Schnapps, Angostura Bitters, Maraschino Cherries",['yellow'],"['fall', 'holiday']"
Paloma,https://www.thecocktailproject.com/drink-recipes/paloma,"Hornitos Plata Tequila, Pink Grapefruit Juice, Hornitos Plata Tequila, Pink Grapefruit Juice, Simple Syrup, Club Soda",Tequila,Fruity,3,50,"Hornitos Plata Tequila, Pink Grapefruit Juice, Simple Syrup, Club Soda",['pink'],"['bbq', 'spring', 'summer']"
