Name,Link,Ingredients,Main Spirit,Flavor,Rating,Ratings Count
Watermelon Pucker,https://www.thecocktailproject.com/drink-recipes/watermelon-pucker,"DeKuyper Pucker Watermelon Schnapps, DeKuyper Pucker Sour Apple Schnapps, DeKuyper Pucker Watermelon Schnapps, DeKuyper Pucker Sour Apple Schnapps, Secrets of Citrus",Cordials,Fruity,3,51
DeKuyper Banana Split,https://www.thecocktailproject.com/drink-recipes/dekuyper-banana-split,"DeKuyper Creme de Banana Liqueur, DeKuyper Pucker Cherry Schnapps, DeKuyper Creme de Banana Liqueur, DeKuyper Pucker Cherry Schnapps, Whipped Cream, Cherries",Cordials,Fruity,2,30
Boozy Pumpkin Milkshake,https://www.thecocktailproject.com/drink-recipes/boozy-pumpkin-milkshake,"DeKuyper Amaretto Liqueur, Jim Beam Original, DeKuyper Amaretto Liqueur, Jim Beam Original, Pumpkin Puree, Ice Cream, Vanilla Extract",Bourbon,Frozen,3,32
Classic Manhattan,https://www.thecocktailproject.com/drink-recipes/classic-manhattan,"Jim Beam Original, JDK & Sons¢â O3 Premium Orange Liqueur, Jim Beam Original, JDK & Sons¢â O3 Premium Orange Liqueur, DeKuyper Pucker Cherry Schnapps, Bitters",Bourbon,Sweet,3,49
Peach Sangria,https://www.thecocktailproject.com/drink-recipes/peach-sangria,"DeKuyper Peachtree Schnapps Liqueur, White Wine, DeKuyper Peachtree Schnapps Liqueur, White Wine, Oranges, Limes, Peaches, Soda Water",Cordials,Fruity,3,39
Mintini Martini,https://www.thecocktailproject.com/drink-recipes/mintini-martini,"DeKuyper Creme de Menthe Green Liqueur, DeKuyper Creme de Cocoa White Liqueur, DeKuyper Creme de Menthe Green Liqueur, DeKuyper Creme de Cocoa White Liqueur, Kamora Coffee Liqueur, Half and Half",Cordials,Sweet,3,42
Holly Jolly Punch,https://www.thecocktailproject.com/drink-recipes/holly-jolly-punch,"DeKuyper Triple Sec Liqueur, Pinnacle Original Vodka, DeKuyper Triple Sec Liqueur, Pinnacle Original Vodka, Cranberry Juice, Ginger Ale, Frozen orange juice concentrate, Cinnamon Allspice, Nutmeg, Cranberries",Cordials,Sweet,3,74
Key Lime Pie Martini,https://www.thecocktailproject.com/drink-recipes/key-lime-pie-martini,"DeKuyper Vanilla Schnapps Liqueur, Pinnacle Citrus Vodka, DeKuyper Vanilla Schnapps Liqueur, Pinnacle Citrus Vodka, Lime Juice, Cream, Whipped Cream, Lime Wheel",Vodka,Sweet,3,28
Melon Creek Martini,https://www.thecocktailproject.com/drink-recipes/melon-creek-martini,"DeKuyper Pucker Watermelon Schnapps, Knob Creek Kentucky Straight Bourbon Whiskey, DeKuyper Pucker Watermelon Schnapps, Knob Creek Kentucky Straight Bourbon Whiskey, Cranberry Juice",Cordials,Sweet,3,26
Pumpkin Pie Martini,https://www.thecocktailproject.com/drink-recipes/pumpkin-pie-martini,"DeKuyper Buttershots Schnapps, Pinnacle Whipped Vodka, DeKuyper Buttershots Schnapps, Pinnacle Whipped Vodka, Cruzan 9 Spiced Rum, Half and Half, Pumpkin Puree, Pumpkin Spice, Whipped Cream, Variations of the Classic Martini",Rum,Sweet,3,39
